"Abra nitida";"Abra tenuis";"Acanthocardia echinata";"Amphictene auricoma";"Apistobranchus tullbergi";"Astrorhiza limicola";"Calocaris macandreae";"Capitella capitata";"Chaetoderma nitidulum";"Cuspidaria cuspidata";"Cylichna alba";"Echinocardium sp.";"Eriopisa elongata";"Eudorella truncatula";"Glycera rouxi";"Golfingia elongata";"Haplophragmoides sp.";"Harpinia antennaria";"Lagis koreni";"Leptostylis villosa";"Leucon nasica";"Levinsenia gracilis";"Lumbrineris tetraura";"Lunatia montagui";"Mediomastus fragilis";"Myriochele oculata";"Nematoda spp.";"Nemertea spp.";"Nephtys sp.";"Ophelina norvegica";"Ophiura affinis";"Ophiuroidea sp.";"Orbinia norvegica";"Ostracoda sp.";"Owenia fusiformis";"Paramphinome jeffreysii";"Philine scabra";"Pholoe inornata";"Phoronis muelleri";"Polycladida spp.";"Polynoidae sp.";"Praxillella affinis";"Saccammina sphaerica";"Spatangoidea sp.";"Spiophanes kroeyeri";"Tellimya ferruginosa";"Terebellidae sp.";"Thyasira ferruginea";"Thyasira flexuosa";"Virgularia mirabilis"
0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;21;0;0;0;0
0;0;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;3;0;1;2;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;179;0;0;0;0;2;3
0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;175;0;0;0;0;2;0
0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;7;1;0;0;0;1;0;0;6;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;5;1;0;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;0;19;0;1;6;0;0;0;0;0;0;0;0;0;1;0;1;0;3;0;3;0;0;0;6;0
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;0;1;0;0;1;0;0;0;5;0;0;2;1;0;0;0;0;0;2;0;0;0;0;0;0;18;19;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;5;0;0;0;2;0;0;0;2;1;0;0;0;0;13;67;0;1;0;0;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;3;0;0;0;0;0;0;5;3;0;0;8;0;0;0;1;0;0;1;0;0;0;0;0;0;44;5;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;2;0;1;0;7;14;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;13;2;0;0;0;0;3;0
2;0;2;0;0;0;0;0;0;1;0;0;2;1;0;0;6;6;0;0;1;0;0;0;1;18;1;0;8;0;0;2;2;0;0;0;1;1;0;0;0;0;13;3;0;0;0;0;8;0
0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;3;8;0;0;1;0;0;0;2;6;0;0;6;0;0;0;1;0;0;0;0;0;1;0;0;0;16;0;0;0;0;0;0;0
0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;12;32;0;0;0;0;1;0;0;14;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;61;25;0;0;0;0;32;0
0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;3;0;0;1;0;0;0;1;1;1;0;4;0;0;0;0;1;0;0;0;0;1;0;0;1;12;6;1;0;0;0;6;0
0;0;2;0;0;0;0;0;0;1;1;0;1;0;0;0;2;1;0;0;0;0;0;0;0;2;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;54;0;0;0;0;0;1;0
3;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;8;7;0;1;1;0;1;0;2;2;0;0;2;2;0;1;1;0;0;0;0;0;1;0;0;0;17;6;0;0;0;0;2;1
0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4;4;0;0;0;0;0;0;0;24;0;0;9;1;0;0;1;0;1;0;1;0;2;0;0;0;27;6;2;0;0;0;5;0
0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;7;0;0;1;0;0;0;2;38;0;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;1;0;0;0
0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0
